Date,Min_Price_Bastnaesite-4625,Max_Price_Bastnaesite-4625,Min_Price_category-Rare_Earth,Max_Price_category-Rare_Earth,Min_Price_Cerium_Carbonate-496,Max_Price_Cerium_Carbonate-496,Min_Price_Cerium_Carbonate-543,Max_Price_Cerium_Carbonate-543,Min_Price_Cerium_Metal-494,Max_Price_Cerium_Metal-494,Min_Price_Cerium_Metal-495,Max_Price_Cerium_Metal-495,Min_Price_Cerium_Oxide-497,Max_Price_Cerium_Oxide-497,Min_Price_Cerium_Oxide-498,Max_Price_Cerium_Oxide-498,Min_Price_Cerium_Oxide-544,Max_Price_Cerium_Oxide-544,Min_Price_Cerium_Oxide-560,Max_Price_Cerium_Oxide-560,Min_Price_Dysprosium_Metal-499,Max_Price_Dysprosium_Metal-499,Min_Price_Dysprosium_Metal-500,Max_Price_Dysprosium_Metal-500,Min_Price_Dysprosium_Oxide-501,Max_Price_Dysprosium_Oxide-501,Min_Price_Dysprosium_Oxide-502,Max_Price_Dysprosium_Oxide-502,Min_Price_Erbium_Oxide-505,Max_Price_Erbium_Oxide-505,Min_Price_Erbium_Oxide-542,Max_Price_Erbium_Oxide-542,Min_Price_Europium_Metal-506,Max_Price_Europium_Metal-506,Min_Price_Europium_Oxide-507,Max_Price_Europium_Oxide-507,Min_Price_Europium_Oxide-508,Max_Price_Europium_Oxide-508,Min_Price_Ferro-dysprosium-503,Max_Price_Ferro-dysprosium-503,Min_Price_Ferro-dysprosium-504,Max_Price_Ferro-dysprosium-504,Min_Price_Ferro-gadolinium-509,Max_Price_Ferro-gadolinium-509,Min_Price_Ferro-holmium-554,Max_Price_Ferro-holmium-554,Min_Price_Gadolinium_Oxide-510,Max_Price_Gadolinium_Oxide-510,Min_Price_Gadolinium_Oxide-545,Max_Price_Gadolinium_Oxide-545,Min_Price_Holmium_Oxide-553,Max_Price_Holmium_Oxide-553,Min_Price_Ionic_RE_Conc.-4624,Max_Price_Ionic_RE_Conc.-4624,Min_Price_LaCe_Carbonate-4424,Max_Price_LaCe_Carbonate-4424,Min_Price_LaCe_Chloride-550,Max_Price_LaCe_Chloride-550,Min_Price_Lanthanum_Metal-511,Max_Price_Lanthanum_Metal-511,Min_Price_Lanthanum_Metal-512,Max_Price_Lanthanum_Metal-512,Min_Price_Lanthanum_Oxide-513,Max_Price_Lanthanum_Oxide-513,Min_Price_Lanthanum_Oxide-514,Max_Price_Lanthanum_Oxide-514,Min_Price_Lanthanum_Oxide-539,Max_Price_Lanthanum_Oxide-539,Min_Price_Lanthanum_Oxide-540,Max_Price_Lanthanum_Oxide-540,Min_Price_Lutetium_Oxide-551,Max_Price_Lutetium_Oxide-551,Min_Price_Monazite-4626,Max_Price_Monazite-4626,Min_Price_NdFeB-4531,Max_Price_NdFeB-4531,Min_Price_NdFeB-4532,Max_Price_NdFeB-4532,Min_Price_NdFeB-4533,Max_Price_NdFeB-4533,Min_Price_NdFeB-4534,Max_Price_NdFeB-4534,Min_Price_NdFeB-4535,Max_Price_NdFeB-4535,Min_Price_NdFeB-4536,Max_Price_NdFeB-4536,Min_Price_NdFeB-4537,Max_Price_NdFeB-4537,Min_Price_NdFeB-4538,Max_Price_NdFeB-4538,Min_Price_NdFeB-4539,Max_Price_NdFeB-4539,Min_Price_NdFeB-4540,Max_Price_NdFeB-4540,Min_Price_Neodymium_Metal-518,Max_Price_Neodymium_Metal-518,Min_Price_Neodymium_Metal-519,Max_Price_Neodymium_Metal-519,Min_Price_Neodymium_Oxide-520,Max_Price_Neodymium_Oxide-520,Min_Price_Neodymium_Oxide-521,Max_Price_Neodymium_Oxide-521,Min_Price_Praseodymium_Metal-522,Max_Price_Praseodymium_Metal-522,Min_Price_Praseodymium_Oxide-523,Max_Price_Praseodymium_Oxide-523,Min_Price_Praseodymium_Oxide-524,Max_Price_Praseodymium_Oxide-524,Min_Price_Praseodymium_Oxide-561,Max_Price_Praseodymium_Oxide-561,Min_Price_PrNd_Mischmetal-526,Max_Price_PrNd_Mischmetal-526,Min_Price_PrNd_Mischmetal-527,Max_Price_PrNd_Mischmetal-527,Min_Price_PrNd_Oxide-525,Max_Price_PrNd_Oxide-525,Min_Price_Samarium_Metal-529,Max_Price_Samarium_Metal-529,Min_Price_Samarium_Metal-530,Max_Price_Samarium_Metal-530,Min_Price_Samarium_Oxide-531,Max_Price_Samarium_Oxide-531,Min_Price_Samarium_Oxide-546,Max_Price_Samarium_Oxide-546
2010-07-02,0,0,0,0,0,0,0,0,0,0,7.97,8.37,0,0,0,0,0,0,0.0,0.0,0.0,0.0,255.02,266.97,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,412.02,427.96,192.86,193.66,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"30,012.71","30,365.80",37.46,38.25,0,0,"29,646.16","30,044.63",39.45,40.25,0,0,"29,486.77","29,885.24",0.0,0.0,"27,776.47","28,129.56",0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
2010-07-05,0,0,0,0,0,0,0,0,0,0,7.98,8.38,0,0,0,0,0,0,0.0,0.0,0.0,0.0,259.36,271.33,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,413.37,429.34,197.11,197.91,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"30,268.05","30,621.38",37.51,38.31,0,0,"29,925.78","30,324.79",39.9,40.7,0,0,"29,925.78","30,324.79",0.0,0.0,"28,148.11","28,501.44",0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
2010-07-07,0,0,0,0,0,0,0,0,0,0,7.96,8.36,0,0,0,0,0,0,0.0,0.0,0.0,0.0,266.57,278.51,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,413.78,429.70,202.91,203.71,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"30,644.95","30,997.19",38.2,38.99,0,0,"30,476.65","30,874.51",40.58,41.38,0,0,"30,237.92","30,635.79",0.0,0.0,"28,296.68","28,648.92",0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
2010-07-09,0,0,0,0,0,0,0,0,0,0,7.91,8.31,0,0,0,0,0,0,0.0,0.0,0.0,0.0,269.05,280.92,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,415.45,431.27,202.18,202.98,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"31,192.68","31,543.16",38.38,39.17,0,0,"30,466.09","30,861.76",40.75,41.54,0,0,"30,228.69","30,624.36",0.0,0.0,"28,272.02","28,622.50",0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
2010-07-12,0,0,0,0,0,0,0,0,0,0,7.95,8.35,0,0,0,0,0,0,0.0,0.0,0.0,0.0,274.42,286.35,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,418.39,434.30,208.80,209.59,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"31,482.74","31,835.16",38.58,39.37,0,0,"30,623.61","31,021.32",40.96,41.76,0,0,"30,384.98","30,782.69",0.0,0.0,"28,428.45","28,780.87",0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
2010-07-14,0,0,0,0,0,0,0,0,0,0,7.87,8.27,0,0,0,0,0,0,0.0,0.0,0.0,0.0,277.89,289.70,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,414.86,430.61,209.01,209.79,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"31,723.53","32,072.14",38.57,39.36,0,0,"31,095.02","31,488.62",40.94,41.72,0,0,"30,858.85","31,252.46",0.0,0.0,"28,702.24","29,050.85",0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
2010-07-16,0,0,0,0,0,0,0,0,0,0,7.69,8.08,0,0,0,0,0,0,0.0,0.0,0.0,0.0,285.38,296.92,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,413.08,428.46,214.23,215.00,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"31,450.47","31,791.09",39.23,40.0,0,0,"30,615.38","31,000.00",40.77,41.54,0,0,"30,384.62","30,769.23",0.0,0.0,"28,157.82","28,498.44",0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
2010-07-19,0,0,0,0,0,0,0,0,0,0,7.72,8.1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,290.19,301.77,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,422.17,437.60,218.80,219.57,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"31,768.44","32,110.04",39.75,40.52,0,0,"30,871.34","31,257.24",41.29,42.06,0,0,"30,716.99","31,102.88",0.0,0.0,"28,295.55","28,637.15",0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
2010-07-21,0,0,0,0,0,0,0,0,0,0,7.8,8.19,0,0,0,0,0,0,0.0,0.0,0.0,0.0,293.36,305.06,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,427.56,443.16,221.19,221.97,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"32,235.78","32,581.17",40.18,40.96,0,0,"31,208.55","31,598.66",41.74,42.52,0,0,"31,052.51","31,442.62",0.0,0.0,"28,781.95","29,127.33",0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
2010-07-23,0,0,0,0,0,0,0,0,0,0,7.75,8.14,0,0,0,0,0,0,0.0,0.0,0.0,0.0,291.54,303.17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,424.91,440.41,219.82,220.59,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"32,019.76","32,362.83",39.93,40.71,0,0,"31,014.96","31,402.65",41.48,42.26,0,0,"30,859.89","31,247.58",0.0,0.0,"28,589.07","28,932.14",0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
